Coefficient,Feature,MAE,ExplainedVariance
1.4900254690853183,summit_elev,11.864796873312795,0.4172462552656919
0.7958390474849217,vertical_drop,11.864796873312795,0.4172462552656919
8.881784197001252e-16,trams,11.864796873312795,0.4172462552656919
1.7763568394002505e-15,fastEight,11.864796873312795,0.4172462552656919
8.881784197001252e-16,fastSixes,11.864796873312795,0.4172462552656919
2.0057328562991317,fastQuads,11.864796873312795,0.4172462552656919
0.07248985145920435,quad,11.864796873312795,0.4172462552656919
1.4250037842158112,triple,11.864796873312795,0.4172462552656919
0.2431159972120851,double,11.864796873312795,0.4172462552656919
0.41616175530287736,surface,11.864796873312795,0.4172462552656919
0.10015715439811526,total_chairs,11.864796873312795,0.4172462552656919
1.6078428894457661,Runs,11.864796873312795,0.4172462552656919
0.883572538159207,TerrainParks,11.864796873312795,0.4172462552656919
0.3972381227034391,LongestRun_mi,11.864796873312795,0.4172462552656919
0.9770127624315644,SkiableTerrain_ac,11.864796873312795,0.4172462552656919
1.4722355102106202,Snow_Making_ac,11.864796873312795,0.4172462552656919
14.916129732618005,daysOpenLastYear,11.864796873312795,0.4172462552656919
1.006657053200493,yearsOpen,11.864796873312795,0.4172462552656919
1.635451671720107,averageSnowfall,11.864796873312795,0.4172462552656919
5.335743485654731,AdultWeekday,11.864796873312795,0.4172462552656919
3.5004493777719787,AdultWeekend,11.864796873312795,0.4172462552656919
2.0924261695712603,NightSkiing_ac,11.864796873312795,0.4172462552656919
0.7127829138988732,clusters,11.864796873312795,0.4172462552656919
